research_id,university,title,authors,publication_year,publication_date,abstract,research_field,tech_category,journal,doi,url,source,publication_period,title_length
PNU-2700,PNU,a fuzzy parameterized multiattribute decision-making framework for supplier chain management based on picture fuzzy soft information,Seher Ansar Khawaja; Muhammad Shoaib Farooq; Kashif Ishaq; Najah Alsubaie; Hanen Karamti; Elizabeth Caro Montero; Eduardo Silva Alvarado; Imran Ashraf,2023,2024-07-26,"<jats:title>Abstract</jats:title><jats:p>Leukemia is a type of blood cell cancer that is in the bone marrow’s blood-forming cells. Two types of Leukemia are acute and chronic; acute enhances fast and chronic growth gradually which are further classified into lymphocytic and myeloid leukemias. This work evaluates a unique deep convolutional neural network (CNN) classifier that improves identification precision by carefully examining concatenated peptide patterns. The study uses leukemia protein expression for experiments supporting two different techniques including independence and applied cross-validation. In addition to CNN, multilayer perceptron (MLP), gated recurrent unit (GRU), and recurrent neural network (RNN) are applied. The experimental results show that the CNN model surpasses competitors with its outstanding predictability in independent and cross-validation testing applied on different features extracted from protein expressions such as amino acid composition (AAC) with a group of AAC (GAAC), tripeptide composition (TPC) with a group of TPC (GTPC), and dipeptide composition (DPC) for calculating its accuracies with their receiver operating characteristic (ROC) curve. In independence testing, a feature expression of AAC and a group of GAAC are applied using MLP and CNN modules, and ROC curves are achieved with overall 100% accuracy for the detection of protein patterns. In cross-validation testing, a feature expression on a group of AAC and GAAC patterns achieved 98.33% accuracy which is the highest for the CNN module. Furthermore, ROC curves show a 0.965% extraordinary result for the GRU module. The findings show that the CNN model is excellent at figuring out leukemia illnesses from protein expressions with higher accuracy.</jats:p>",scientific,,BMC Cancer,10.1186/s12885-024-12609-8,https://doi.org/10.1186/s12885-024-12609-8,PNU Open Data,2023,132
PNU-2703,PNU,a novel biosensing approach: improving sns2 fet sensitivity with a tailored supporter molecule and custom substrate,Muhammad Hamza Waris; Muhammad Azhar Mumtaz; Amir Muhammad Afzal; Nimra Muzaffar; Sohail Mumtaz; Muhammad Waqas Iqbal; Areej S. Alqarni,2023,2024-08-01,"<jats:p>Here, we synthesized a nanocomposite electrode material for high-performance asymmetric supercapacitor devices (ASCD) made of bismuth ferrite (BFO) nanocomposite and nickel cobalt sulfide with carbon nanotubes (NiCoS@CNT). To fabricate the BFO@NiCoS@CNT nanocomposite, a simple hydrothermal process was used. Electrochemical impedance spectroscopy, galvanostatic charge/discharge measurements, and cyclic voltammetry were used to evaluate the electrochemical experiments. At a scan speed of 5 mVs<jats:sup>−1</jats:sup>, the BFO@NiCoS@CNT nanocomposite exhibited a specific capacitance of 2890 Fg<jats:sup>−1</jats:sup>, surpassing pure BFO@NiCoS. Furthermore, the nanocomposite displayed excellent cyclic stability, retaining around 87.8% of its capacity retention even after 5000 cycles. Another notable property is its energy density (Ed) of 71 Whkg<jats:sup>−1</jats:sup> at the power density (Pd) of 2400 Wkg<jats:sup>−1</jats:sup>. Based on these promising findings, BFO@NiCoS@CNT nanocomposite might be used to fabricate electrodes for high-performance hybrid supercapacitors. Our research indicates that this is the first report of a BFO@NiCoS@CNT nanocomposite used as an asymmetric supercapacitor.</jats:p>",scientific,,ECS Journal of Solid State Science and Technology,10.1149/2162-8777/ad6792,https://doi.org/10.1149/2162-8777/ad6792,PNU Open Data,2023,115
PNU-2704,PNU,a novel generalization of q-rung orthopair fuzzy aczel alsina aggregation operators and their application in wireless sensor networks,Yusry El-Dib; Nasser S. Elgazery; Haifa A. Alyousef,2023,2024-07-31,"<jats:p>The current research studies a fractal Duffing oscillator in the presence of periodic force. To find an analytic solution for this oscillator, the aspects explained in the following are considered. First, we obtain an alternative unforced fractal fourth-order equation and then convert it into a continuous space. Therefore, the non-perturbative (NP) approach is used to calculate the analytic solution for the alternate equation in the second-order form after reducing its rank. It is seen that the analytical and numerical solutions agree very well. The computations reveal that for every value of the fraction parameter, the approximation and numerical solutions are identical. The present study gives reliability in the technique of reducing the order of differential equations. Furthermore, the required periodic solution is also obtained by Galerkin’s technique. In contrast to the traditional technique, which works to transform the variable and is valid only in the absence of external forces, if there is an external force, it leads to significant mathematical difficulties. The current technique works on the operator, which is simple and effective when investigating fractal oscillators with external forces, easy to obtain analytic solutions, and doesn't lead to any mathematical difficulties.</jats:p>",scientific,,"Facta Universitatis, Series: Mechanical Engineering",10.22190/fume230605035e,https://doi.org/10.22190/fume230605035e,PNU Open Data,2023,133
PNU-2706,PNU,a probabilistic version of eneström-kakeya theorem for certain random polynomials,Kumar Rohit; Amit Shankar; Gagan Katiyar; Ankit Mehrotra; Ebtesam Abdullah Alzeiby,2023,,,scientific,,Journal of Retailing and Consumer Services,10.1016/j.jretconser.2024.103728,https://doi.org/10.1016/j.jretconser.2024.103728,PNU Open Data,2023,81
PNU-2710,PNU,an ecosystem model with memory effect considering global warming phenomena and an exponential fear function,Reda EL-Mernissi; Marwa Alaqarbeh; Ayoub Khaldan; Mohammed Kara; Omkulthom Al kamaly; Anwar M. Alnakhli; Tahar Lakhlifi; Abdelouahid Sbai; Mohammed Aziz Ajana; Mohammed Bouachrine,2023,2024-06-24,"<jats:title>Abstract</jats:title>
               <jats:p>Breast cancer is the most common illness among women, accounting for 25% of all diagnoses, as stated by the American Cancer Society. Current research focuses on 43 compounds of styrylquinoline derivatives as potential inhibitors of tubulin to design a new drug that could potentially be effective against breast cancer cells in humans. The target compounds were subjected to a three-dimensional quantitative structure-activity relationship/comparative molecular similarity indices analysis (CoMSIA) approach, where CoMSIA models were used; the best results obtained are (<jats:italic>Q</jats:italic>
                  <jats:sup>2</jats:sup> = 0.84, <jats:italic>R</jats:italic>
                  <jats:sup>2</jats:sup> = 0.97, <jats:inline-formula>
                     <jats:alternatives>
                        <jats:inline-graphic xmlns:xlink=""http://www.w3.org/1999/xlink"" xlink:href=""graphic/j_chem-2024-0041_eq_001.png""/>
                        <m:math xmlns:m=""http://www.w3.org/1998/Math/MathML"">
                           <m:msubsup>
                              <m:mrow>
                                 <m:mi>r</m:mi>
                              </m:mrow>
                              <m:mrow>
                                 <m:mtext>ext</m:mtext>
                              </m:mrow>
                              <m:mrow>
                                 <m:mn>2</m:mn>
                              </m:mrow>
                           </m:msubsup>
                        </m:math>
                        <jats:tex-math>{r}_{\text{ext}}^{2}</jats:tex-math>
                     </jats:alternatives>
                  </jats:inline-formula> = 0.91), H-bond acceptor field was discovered to be important for increasing inhibitory activity by examining the contour maps (54%), and it plays a key role in the prediction of anticancer activity. Based on the contour maps of the CoMSIA models, we obtained information that allows us to propose four new molecules with higher cancer inhibitory than the 43 compounds found in the literature. The molecular docking was applied to determine the likely types of binding between the tubulin protein (PDB ID: 4O2B) and the proposed compounds, and the results show that M1 has a higher total score of 6.53 and two interactions with important conventional hydrogen bond type, followed by compound M2 with a total score of 5.74. Furthermore, the designed molecules showed better pharmacokinetic properties based on absorption, distribution, metabolism, excretion, and toxicity properties. Molecular dynamics simulations at 100 ns were conducted to confirm the binding stability of the selected ligands (M1 and M2) with tubulin protein. The simulation parameters used in the current study are root mean square deviation, root mean square fluctuation, H-bond, Rg, solvent accessible surface area, and binding energy. As a result, the designed compounds (ligands M1 and M2) have shown noteworthy potential as a drug candidate for experimental <jats:italic>in vivo</jats:italic> and <jats:italic>in vitro</jats:italic> testing due to their potential inhibition of breast cancer. Finally, the study of retrosynthesis in this work facilitates the synthesis of drug candidates.</jats:p>",scientific,,Open Chemistry,10.1515/chem-2024-0041,https://doi.org/10.1515/chem-2024-0041,PNU Open Data,2023,107
PNU-2716,PNU,approximate controllability of neutral differential systems with fractional deformable derivatives,Hadil Faris Alotaibi,2023,2024-12-31,,scientific,,Journal of Taibah University for Science,10.1080/16583655.2024.2387883,https://doi.org/10.1080/16583655.2024.2387883,PNU Open Data,2023,98
PNU-2718,PNU,asymptotic results of some conditional nonparametric functional parameters in high-dimensional associated data,Marwa E. Hasanin; Shereen Hamed Elsayed; Mona Mohamed Taha,2023,,"<jats:sec>
                    <jats:title>Background:</jats:title>
                    <jats:p>Normal labor is stressful, and the intense pain and anxiety can have an adverse effect on the mother, the fetus, and the delivery procedure. This study aimed to determine how acupressure applied to multiple acupoints during normal labor affected labor pain and anxiety in primiparous women.</jats:p>
                  </jats:sec>
                  <jats:sec>
                    <jats:title>Method:</jats:title>
                    <jats:p>This study was a double-blinded randomized controlled trial that involved 43 primiparous women aging 20–30 years who were referred for normal labor. Subjects were randomly allocated to one of two groups: acupressure or control. Acupressure was administered to the Large Intestine 4 (LI4), Heart 7 (He-7), and Spleen 6 (SP6) acupoints in the acupressure group, whereas sham acupressure was administered to the control group. The study assessed the mothers' anxiety levels using the Spielberger Inventory questionnaire and measured their pain levels using the visual analog scale before and after the intervention. In addition, pulse rate and blood pressure were also measured.</jats:p>
                  </jats:sec>
                  <jats:sec>
                    <jats:title>Result:</jats:title>
                    <jats:p>
                      In the acupressure group, both the anxiety score and pain level showed a substantial improvement (
                      <jats:italic toggle=""yes"">p</jats:italic>
                       &lt; 0.001), but in the control group, only the anxiety score showed a significant improvement (
                      <jats:italic toggle=""yes"">p</jats:italic>
                       &lt; 0.001). After the intervention, the difference in anxiety and pain scores between the two groups is statistically significant (
                      <jats:italic toggle=""yes"">p</jats:italic>
                       &lt; 0.001). Furthermore, neither group's blood pressure nor pulse rate showed any significant changes (
                      <jats:italic toggle=""yes"">p</jats:italic>
                       &lt; 0.05).
                    </jats:p>
                  </jats:sec>
                  <jats:sec>
                    <jats:title>Conclusion:</jats:title>
                    <jats:p>
                      According to the study's findings, acupressure targeting LI4, He-7, and SP6 acupoints was effective in relieving anxiety and pain during labor. Compared with the sham acupressure group, the acupressure group showed a greater decrease in both anxiety and pain levels. As such, acupressure may be recommended as an effective, affordable, and accessible technique for managing pain and anxiety during labor. This study has been registered in the database of clinical trials under the identifier
                      <jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""uri"" xlink:href=""http://Clinicaltrials.gov"">Clinicaltrials.gov</jats:ext-link>
                      NCT05411289.
                    </jats:p>
                  </jats:sec>",scientific,,Journal of Integrative and Complementary Medicine,10.1089/jicm.2023.0072,https://doi.org/10.1089/jicm.2023.0072,PNU Open Data,2023,110
PNU-2724,PNU,"cadmium-induced lung injury is associated with oxidative stress, apoptosis, and altered sirt1 and nrf2/ho-1 signaling; protective role of the melatonin agonist agomelatine",Rania Shalaby; Majid Mohammad Al-Sawahli; Dalia Farag A. El-Telbany; Samah Bahaa; Layla Hafed; Seham H. El-Ayouti; Nada Noureldin; Sally Ibrahim; Sahar El Refai; Sandy H. Shaaban; Rania Farag A. El-Telbany; Khaled Selim; Zaenah Zuhair Alamri; Sameh S. Zaghlool; Yasmin A. El-Feky,2023,,,scientific,,Journal of Drug Delivery Science and Technology,10.1016/j.jddst.2024.106067,https://doi.org/10.1016/j.jddst.2024.106067,PNU Open Data,2023,171
PNU-2725,PNU,calligraphic pencil-on-paper strain sensors,Lama Shawli; Mashael Alsobhi; Mohamed Faisal Chevidikunnan; Sheeba Rosewilliam; Reem Basuodan; Fayaz Khan,2023,,,scientific,,Musculoskeletal Science and Practice,10.1016/j.msksp.2024.103152,https://doi.org/10.1016/j.msksp.2024.103152,PNU Open Data,2023,43
PNU-2728,PNU,"chemical composition, seasonal variation and antiaging activities of essential oil from callistemon subulatus leaves growing in egypt",Fadi M. Munshi; Priti P. Desai; Banafsheh Azizi; Sarah O. Alabdulkarim; Gadah A. Mujlli; Heidi A. Alaskary; Caroline R. McIntire; Reem S. Alhegelan; Ahmed Yaqinuddin; Josefa P. Izquierdo,2023,,,scientific,,Journal of Taibah University Medical Sciences,10.1016/j.jtumed.2024.06.004,https://doi.org/10.1016/j.jtumed.2024.06.004,PNU Open Data,2023,133
